date,cap
2022-08-06,206143302111.46
2022-08-09,207597034307.44
2022-08-12,238664195002.23
2022-08-15,232274942656.73
2022-08-18,225368717991.11
2022-08-21,197650970990.22
2022-08-24,202323303041.31
2022-08-27,182154372410.71
2022-08-29,189722196186.3
2022-09-01,193834454491.69
2022-09-04,192853381586.06
2022-09-07,199305881389.89
2022-09-10,217263495408.34
2022-09-13,193422316197.85
2022-09-16,175325880262.72
2022-09-19,168666096121.15
2022-09-22,162617761175.93
2022-09-25,158574740489.23
2022-09-28,163924504660.63
2022-10-01,160822630102.87
2022-10-04,167070804931.43
2022-10-06,165831763019.55
2022-10-09,162317860620.67
2022-10-12,158974260182.09
2022-10-15,156569408718.13
2022-10-18,160364466785.93
2022-10-21,159079468496.66
2022-10-24,164592661444.43
2022-10-27,185319902025.23
2022-10-30,194670301516.91
2022-11-02,185973007218.42
2022-11-05,199220740931.91
2022-11-08,163104244541.39
2022-11-11,157522222703.27
2022-11-13,149518741493.03
2022-11-16,148757983064.94
2022-11-19,149103599322.5
2022-11-22,135633447402.59
2022-11-25,146717202126.48
2022-11-28,143187967151.1
2022-12-01,156182574199.63
2022-12-04,156669949121.35
2022-12-07,150818134579.13
2022-12-10,154972318287.59
2022-12-13,161600715739.48
2022-12-16,142964413923.36
2022-12-18,144978183335.93
2022-12-21,148512923133.86
2022-12-24,149436675608.59
2022-12-27,148414001604.48
2022-12-30,146754748632.98
2023-01-02,148642233522.06
2023-01-05,153020999980.23
2023-01-08,157539152133.39
2023-01-11,169846691171.36
2023-01-14,189765994312.95
2023-01-17,191863382801.15
2023-01-20,203110528556.42
2023-01-23,199255375047.72
2023-01-25,197231311510.35
2023-01-28,192424955722.92
2023-01-31,194150467599.55
2023-02-03,203721353153.94
2023-02-06,197786409641.32
2023-02-09,189243632232.62
2023-02-12,185400529851.63
2023-02-15,204822771743.5
2023-02-18,207034487855.66
2023-02-21,202900324403.57
2023-02-24,196822841716.09
2023-02-27,199998836364.05
2023-03-02,201588829111.97
2023-03-04,191750540944.79
2023-03-07,191139794720.6
2023-03-10,174891606136.11
2023-03-13,205625908298.01
2023-03-16,205247345636.65
2023-03-19,218507909796.79
2023-03-22,212651145920.18
2023-03-25,213391238626.05
2023-03-28,216942634875.31
2023-03-31,219476732219.84
2023-04-03,218064367254.84
2023-04-06,225608098485.43
2023-04-09,223977715590.51
2023-04-11,227928964948.72
2023-04-14,252646950002.52
2023-04-17,247975491589.17
2023-04-20,234005095167.34
2023-04-23,224214876354.3
2023-04-26,224743281403.41
2023-04-29,229830520243.3
2023-05-02,225222354683.52
2023-05-05,240145032619.42
2023-05-08,222504389357.37
2023-05-11,216135216883.07
2023-05-14,221375138904.33
2023-05-17,219138701233.08
2023-05-19,218010422175.62
2023-05-22,218593840135.54
2023-05-25,217184216646.79
2023-05-28,229798912476.57
2023-05-31,225361512775.62
2023-06-03,227537459456.49
2023-06-06,226580142941.11
2023-06-09,221248657889.82
2023-06-12,209498804938.46
2023-06-15,200224535661.62
2023-06-18,206832112414.09
2023-06-21,227300141959.11
2023-06-23,227515380123.15
