open;high;low;close;volume;marketCap;timestamp
138.46878261;147.034330002;134.570180924;138.018334779;3169029972.2;14365797195.6268;"2018-12-29T00:00:00.000Z"
133.418144908;141.397504378;132.650705543;140.819413158;2258709868.32;14665318369.5793;"2019-01-01T00:00:00.000Z"
148.912894276;156.878975599;147.907099008;154.58194227;3126192535.1;16107068093.0135;"2019-01-04T00:00:00.000Z"
157.80948734;158.450431168;151.150719776;151.699213451;2712108387.91;15814868678.4056;"2019-01-07T00:00:00.000Z"
150.843510345;152.148274936;126.52937645;128.625185944;3397734455.64;13416263931.3845;"2019-01-10T00:00:00.000Z"
125.90722966;126.26787861;116.085966478;116.89780148;2268263943.76;12199288487.1023;"2019-01-13T00:00:00.000Z"
121.809242251;127.11825062;121.441416987;123.547061541;2746469339.75;12899812275.3187;"2019-01-16T00:00:00.000Z"
121.614427217;125.904226831;121.161034294;124.519021209;3048261797.09;13007954845.5818;"2019-01-19T00:00:00.000Z"
117.11075621;119.66434234;114.676679352;118.747550914;2552507404.73;12410972240.9689;"2019-01-22T00:00:00.000Z"
117.462784971;118.032106999;116.006798483;117.362886414;2520843419.62;12269992351.2449;"2019-01-24T00:00:00.000Z"
116.510314866;116.685408284;113.405291898;113.405291898;2775888287;11861671822.0094;"2019-01-27T00:00:00.000Z"
105.407204612;109.452982289;104.84379221;108.90753982;2874370354.59;11396282341.1625;"2019-01-30T00:00:00.000Z"
107.466413449;110.653877671;106.764019085;110.430261898;2385157837.71;11560765572.9744;"2019-02-02T00:00:00.000Z"
107.628166134;108.134787627;106.909894888;107.443520166;2515863998.87;11253035388.4001;"2019-02-05T00:00:00.000Z"
104.64504714;119.805812612;104.194436464;119.267748863;3656841346.52;12496945335.9863;"2019-02-08T00:00:00.000Z"
124.871533617;124.871533617;120.31174986;121.298395992;3222473887.41;12714795026.099;"2019-02-11T00:00:00.000Z"
122.416986985;124.451988643;121.334889287;121.390203726;3331701627.67;12729213674.5428;"2019-02-14T00:00:00.000Z"
123.182083354;134.460098625;123.09160992;133.59888295;4236081129.54;14014695489.541;"2019-02-17T00:00:00.000Z"
145.172723184;149.554343958;142.502126618;149.554343958;4500094964.92;15694462392.6945;"2019-02-20T00:00:00.000Z"
148.676621979;159.125870299;147.331060175;158.79542978;4519468458.35;16670632412.0171;"2019-02-23T00:00:00.000Z"
